# minDate: 2014-01-22 (inferred from apk metadata) 
# maxDate: 2015-05-26 (inferred from apk metadata) 
Books & Reference       |     Top Free | 1 | 2014-07-09 | /jacobs/APKs/an/anim/animaonl/animaonline.android.wikiexplorer/1.5.5/animaonline.android.wikiexplorer.apk                                                                                                                                                                      
Books & Reference       |     Top Free | 1 | 2015-04-19 | /jacobs/APKs/co/com./com.mega/com.megalol.quotes/1.42/com.megalol.quotes.apk                                                                                                                                                                                                   
Books & Reference       |     Top Free | 2 | 2015-02-05 | /jacobs/APKs/co/com./com.audi/com.audible.application/1.7.0/com.audible.application.apk                                                                                                                                                                                        
Books & Reference       |     Top Free | 2 | 2014-08-15 | /jacobs/APKs/de/de.d/de.dasoe/de.dasoertliche.android/3.11/de.dasoertliche.android.apk                                                                                                                                                                                         
Books & Reference       |     Top Free | 2 | 2015-02-15 | /jacobs/APKs/or/org./org.leo./org.leo.android.dict/5.3/org.leo.android.dict.apk                                                                                                                                                                                                
Business                |     Top Free | 1 | 2015-02-25 | /jacobs/APKs/co/com./com.infr/com.infraware.office.link/6.0.9/com.infraware.office.link.apk                                                                                                                                                                                    
Business                |     Top Free | 1 | 2014-02-17 | /jacobs/APKs/co/com./com.verv/com.vervigroup.deadline2do/1.105/com.vervigroup.deadline2do.apk                                                                                                                                                                                  
Business                |     Top Free | 1 | 2014-08-03 | /jacobs/APKs/co/com./com.rhms/com.rhmsoft.fm/1.17.0/com.rhmsoft.fm.apk                                                                                                                                                                                                         
Business                |     Top Free | 1 | 2014-04-04 | /jacobs/APKs/co/com./com.dyna/com.dynamixsoftware.printhand/6.1.4/com.dynamixsoftware.printhand.apk                                                                                                                                                                            
Business                |     Top Free | 1 | 2014-08-23 | /jacobs/APKs/cn/cn.w/cn.wps.m/cn.wps.moffice_eng/6.1.1/cn.wps.moffice_eng.apk                                                                                                                                                                                                  
Comics                  |     Top Free | 1 | 2014-02-02 | /jacobs/APKs/ar/arli/arlind.S/arlind.Shqip/2.0/arlind.Shqip.apk                                                                                                                                                                                                                
Comics                  |     Top Free | 1 | 2014-06-07 | /jacobs/APKs/co/com./com.ht.m/com.ht.manga.gpanda/1.3.4/com.ht.manga.gpanda.apk                                                                                                                                                                                                
Comics                  |     Top Free | 1 | 2014-08-13 | /jacobs/APKs/co/com./com.nave/com.naver.linewebtoon/1.0.6/com.naver.linewebtoon.apk                                                                                                                                                                                            
Comics                  |     Top Free | 1 | 2014-09-07 | /jacobs/APKs/co/com./com.ben./com.ben.lianmeng/1.0/com.ben.lianmeng.apk                                                                                                                                                                                                        
Comics                  |     Top Free | 1 | 2014-12-10 | /jacobs/APKs/de/de.n/de.nicht/de.nichtlustig.android/1.0.6/de.nichtlustig.android.apk                                                                                                                                                                                          
Communication           |     Top Free | 1 | 2014-09-17 | /jacobs/APKs/co/com./com.face/com.facebook.orca/12.0.0.21.14/com.facebook.orca.apk                                                                                                                                                                                             
Communication           |     Top Free | 2 | 2014-09-03 | /jacobs/APKs/co/com./com.skyp/com.skype.raider/5.0.0.51733/com.skype.raider.apk                                                                                                                                                                                                
Communication           |     Top Free | 3 | 2014-10-08 | /jacobs/APKs/co/com./com.anti/com.antivirus/4.1.2/com.antivirus.apk                                                                                                                                                                                                            
Communication           |     Top Free | 3 | 2014-08-02 | /jacobs/APKs/co/com./com.vibe/com.viber.voip/4.3.3.67/com.viber.voip.apk                                                                                                                                                                                                       
